,Unnamed: 0,Year,SDR (average),SDR (end year),$USD (average),USD (end year),Pound Sterling (average),Pound Sterling (end year),Deutsche Mark/Euro (average),Deutsche Mark/Euro (end year),Japanese Yen (average),Japanese Yen (end year)
0,0,1971,9.6233,9.722999999999999,7.9408,7.794,18.8,18.776,3.1917,3.324,3.0,2.7
1,1,1975,10.3642,10.375,8.6825,8.972999999999999,18.3933,17.19,3.4458,3.535,3.0,3.0
2,2,1976,10.35,10.206,8.9775,8.804,15.5733,15.144,3.6308,3.6860000000000004,3.0,3.2
3,3,1977,10.1605,10.43,8.5858,8.434,15.4292,1.0,3.8358,4.169,3.33,3.8
4,4,1978,10.4315,10.488,8.2267,8.15,15.9658,16.861,4.22,4.364,4.0,3.9
5,5,1979,10.4936,10.251,8.0975,8.193,17.655,17.753,4.4717,4.218999999999999,3.58,3.3
6,0,1980,10.1777,8.062000000000001,7.9092,8.19,18.5042,19.0,4.1875,3.9,3.75,4.0
7,1,1981,10.3354,10.402999999999999,8.9683,9.346,17.1096,16.652,3.8607,3.8710000000000004,3.94,3.8
8,2,1982,10.5628,10.754000000000001,9.666,9.97,16.1356,14.745999999999999,3.96,4.109,3.89,4.2
9,3,1983,10.9405,11.394,10.34,10.707,15.4174,15.446,3.9402,4.1339999999999995,4.38,4.8
10,4,1984,11.9328,12.321,11.8886,12.43,14.8668,15.45,3.9877,4.019,4.87,4.9
11,5,1985,12.9232,13.985999999999999,12.2349,12.3061,16.8467,18.25,4.5553,5.3020000000000005,5.62,6.8
12,6,1986,15.4472,16.621,12.7782,12.8882,19.0722,20.749000000000002,6.297000000000001,7.162000000000001,8.02,8.9
13,7,1987,17.1208,17.97,12.9658,13.0318,22.0872,24.351,7.4004,7.807,9.41,10.3
14,8,1988,19.2619,20.208,14.4817,15.663,25.5959,26.399,8.0494,8.259,11.3,11.8
15,9,1989,21.3684,22.409000000000002,16.6492,17.3248,26.9179,28.301,9.0922,10.167,11.66,11.0
16,0,1990,24.8431,26.414,17.9428,19.6429,33.193000000000005,34.05,11.4351,11.427,12.79,13.9
17,1,1991,33.4325,35.5143,24.4737,31.2256,42.5151,53.6913,14.6248,18.3501,18.44,23.28
18,2,1992,37.1415,43.6511,30.6488,31.2354,51.6858,46.62,19.5877,19.2864,24.59,26.99
19,3,1993,43.8863,44.3133,31.3655,31.3725,47.2064,46.52,18.7403,18.7575,29.11,35.52
20,4,1994,45.7908,49.1558,31.3986,31.495,48.8211,50.565,20.2017,22.36,31.6341,35.2888
21,5,1995,50.4768,50.1633,33.4498,34.35,52.3526,52.43,23.3993,23.3038,34.8425,32.2975
22,6,1996,50.8858,49.8032,35.4999,35.915,56.3646,58.6938,22.9244,21.3863,31.5879,28.9463
23,7,1997,50.6735,52.7677,37.1648,39.495,61.023999999999994,66.1638,20.9613,21.335,30.299,29.7813
24,8,1998,57.5129,57.6132,42.0706,42.435,69.5505,68.3588,24.1792,23.2863,33.1341,35.3263
25,9,1999,58.9335,58.7505,43.3327,43.605,69.851,69.51,44.7909,41.7975,39.0606,41.4825
26,0,2000,47.5459,58.7969,45.6844,46.64,67.5522,66.5788,41.4832,41.0113,41.4052,37.4338
27,1,2001,50.215,52.8446,47.6919,48.8,68.3189,69.5863,42.1811,42.6438,38.179,36.8063
28,2,2002,54.1257,55.255,48.3953,47.505,62.8193,62.9225,48.0901,51.4925,39.7363,39.8925
29,3,2003,50.6876,56.2393,45.9516,43.445,67.7389,59.6813,53.9896,53.1725,40.7077,41.6725
30,4,2004,46.9282,48.0987,44.9315,43.755,42.8644,52.1125,56.5523,56.5863,41.8046,40.8075
31,5,2005,41.4898,44.2566,44.2735,44.605,59.0472,57.7963,53.9124,54.1875,39.1438,38.0188
32,6,2006,44.2538,45.8289,45.2849,43.595,55.7274,55.5938,58.111000000000004,58.1513,38.7975,37.0338
33,7,2007,45.6506,45.7307,40.241,39.985,50.8016,49.5138,56.9906,63.0963,35.2896,40.065
34,8,2008,49.778,49.1742,45.917,50.945,48.4485,42.8575,65.1345,67.4713,46.0521,51.89
35,9,2009,50.33,50.5335,47.4166,45.135,45.8861,48.0188,47.0843,50.5913,51.1261,48.4338
